目标变量,预测天数,best_baseline_name,selection_metric,selection_rule,validation_row_count,validation_MAE,validation_RMSE,validation_sMAPE
HUFL,1,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.7999499973545454,2.3890023094416803,0.125439104824698
HUFL,2,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.1092772401318176,2.6787413085950367,0.1454613577875841
HUFL,3,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.264527264727273,2.8282209708186032,0.1542034998492757
HUFL,4,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.3552681751318185,2.9336985569674066,0.1599796274621402
HUFL,5,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.314754551472728,3.039526797234304,0.156739854758924
HUFL,6,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.427686323154545,3.2005343189931947,0.164912992335627
HUFL,7,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.597368728527774,3.4052790082824926,0.1784327103747591
HUFL,8,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.592421272721047,3.406741972091083,0.1780794637056462
HUFL,9,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.5950065537947054,3.409482045658337,0.1783982914652535
HUFL,10,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.6059074019215136,3.419395538457949,0.179251885407119
HUFL,11,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.6009435746528085,3.4167515613502504,0.1788597006369452
HUFL,12,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.594307166175696,3.4156293686477794,0.1783087880125538
HUFL,13,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.5877246283524378,3.4066438517186213,0.1781543337292
HUFL,14,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,2.580549813387469,3.4053516599090745,0.1778842230864817
HULL,1,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.3685136244227276,1.913342490120918,0.4504575668298722
HULL,2,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.5989545409681822,2.225150158429455,0.5047465607818893
HULL,3,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.781609075236363,2.441751684937618,0.5373032439636329
HULL,4,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.790356137424872,2.2672809932145364,0.5186388750161453
HULL,5,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.7971676554613618,2.271819914509109,0.5194726595139331
HULL,6,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.793355399137072,2.2685265831144497,0.5185994202622062
HULL,7,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.8108124846787457,2.2850718365664795,0.5206744484211464
HULL,8,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.814741722963692,2.292164991216973,0.5135268868729209
HULL,9,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.8028764657780485,2.281981247275345,0.5069328391002629
HULL,10,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.7903531432376103,2.2686203841096804,0.4992011024178511
HULL,11,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.786369748521239,2.261224773471012,0.4884925525722282
HULL,12,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.787251935262731,2.26130981849304,0.4878435105611036
HULL,13,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.814786427664304,2.281481998863876,0.4927155774288073
HULL,14,weekday_horizon_mean,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,1.7959970539261707,2.2662158822552003,0.4831083637625791
LUFL,1,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.6474659020022728,0.9645903232120518,0.1341225371959016
LUFL,2,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.7708477030931818,1.1094189226803508,0.1577437647117465
LUFL,3,mean_last_4,MAE,验证集 target_variable_horizon 层级内 MAE 最低,110.0,0.8446477012204544,1.196701321011597,0.1717641530277761
